id,latitude,longitude,label,quality,max_mean-bright,max_std_bright,date,region
47472313,35.6839,139.7744,2,6,,,2022-03-14,Tokyo
9591075,-6.2146,106.8451,2,6,,,2022-03-14,Jakarta
62196669,28.6667,77.2167,2,6,,,2022-03-14,Delhi
77545122,14.6,120.9833,2,6,,,2022-03-14,Manila
67265927,-23.5504,-46.6339,2,6,,,2022-03-14,Sao Paulo
29176415,37.56,126.99,2,6,,,2022-03-14,Seoul
33663617,19.0758,72.8775,2,6,,,2022-03-14,Mumbai
65412945,31.1667,121.4667,2,6,,,2022-03-14,Shanghai
7965243,19.4333,-99.1333,2,6,,,2022-03-14,Mexico City
70318414,23.1288,113.259,2,6,,,2022-03-14,Guangzhou
62344087,30.0444,31.2358,2,6,,,2022-03-14,Cairo
61255205,39.904,116.4075,2,6,,,2022-03-14,Beijing
57044715,40.6943,-73.9249,2,6,,,2022-03-14,New York
26195696,22.5727,88.3639,2,6,,,2022-03-14,Kolkata
18991749,55.7558,37.6178,2,6,,,2022-03-14,Moscow
18189294,13.75,100.5167,2,6,,,2022-03-14,Bangkok
88101513,23.7289,90.3944,2,6,,,2022-03-14,Dhaka
83521577,-34.5997,-58.3819,2,6,,,2022-03-14,Buenos Aires
80280295,34.752,135.4582,2,6,,,2022-03-14,Osaka
53511797,6.45,3.4,2,6,,,2022-03-14,Lagos
66135135,41.01,28.9603,2,6,,,2022-03-14,Istanbul
27501248,24.86,67.01,2,6,,,2022-03-14,Karachi
27287701,-4.3317,15.3139,2,6,,,2022-03-14,Kinshasa
11935324,22.535,114.054,2,6,,,2022-03-14,Shenzhen
90815897,12.9791,77.5913,2,6,,,2022-03-14,Bangalore
59963761,10.8167,106.6333,2,6,,,2022-03-14,Ho Chi Minh City
48441001,35.7,51.4167,2,6,,,2022-03-14,Tehran
88729203,34.1139,-118.4068,2,6,,,2022-03-14,Los Angeles
65291756,-22.9083,-43.1964,2,6,,,2022-03-14,Rio de Janeiro
29574175,30.66,104.0633,2,6,,,2022-03-14,Chengdu
13018938,38.8671,115.4845,2,6,,,2022-03-14,Baoding
25042796,13.0825,80.275,2,6,,,2022-03-14,Chennai
81828318,31.5497,74.3436,2,6,,,2022-03-14,Lahore
29360793,51.5072,-0.1275,2,6,,,2022-03-14,London
23512709,48.8566,2.3522,2,6,,,2022-03-14,Paris
50197987,39.1467,117.2056,2,6,,,2022-03-14,Tianjin
63530418,35.0606,118.3425,2,6,,,2022-03-14,Linyi
62523621,38.0422,114.5086,2,6,,,2022-03-14,Shijiazhuang
74145724,34.7492,113.6605,2,6,,,2022-03-14,Zhengzhou
73325418,32.9987,112.5292,2,6,,,2022-03-14,Nanyang
36181788,17.3617,78.4747,2,6,,,2022-03-14,Hyderabad
13731469,30.5872,114.2881,2,6,,,2022-03-14,Wuhan
84160646,36.6116,114.4894,2,6,,,2022-03-14,Handan
2914468,35.1167,136.9333,2,6,,,2022-03-14,Nagoya
33737919,36.7167,119.1,2,6,,,2022-03-14,Weifang
24524999,-12.06,-77.0375,2,6,,,2022-03-14,Lima
23581565,33.625,114.6418,2,6,,,2022-03-14,Zhoukou
3978215,-8.8383,13.2344,2,6,,,2022-03-14,Luanda
26996628,25.8292,114.9336,2,6,,,2022-03-14,Ganzhou
90493152,34.261,117.1859,2,6,,,2022-03-14,Tongshan
72007775,3.1478,101.6953,2,6,,,2022-03-14,Kuala Lumpur
81324657,41.8373,-87.6862,2,6,,,2022-03-14,Chicago
10658180,35.2333,115.4333,2,6,,,2022-03-14,Heze
10265052,29.55,106.5069,2,6,,,2022-03-14,Chongqing
62814327,21.0245,105.8412,2,6,,,2022-03-14,Hanoi
33970887,32.8986,115.8045,2,6,,,2022-03-14,Fuyang
62916356,28.1987,112.9709,2,6,,,2022-03-14,Changsha
72870467,23.0475,113.7493,2,6,,,2022-03-14,Dongguan
42830139,35.4,116.5667,2,6,,,2022-03-14,Jining
45960635,36.6667,116.9833,2,6,,,2022-03-14,Jinan
83550283,18.5196,73.8553,2,6,,,2022-03-14,Pune
18548984,23.0292,113.1056,2,6,,,2022-03-14,Foshan
96463914,4.6126,-74.0705,2,6,,,2022-03-14,Bogota
36207577,23.03,72.58,2,6,,,2022-03-14,Ahmedabad
34076389,32.05,118.7667,2,6,,,2022-03-14,Nanjing
26146005,43.9,125.2,2,6,,,2022-03-14,Changchun
55788666,39.6292,118.1742,2,6,,,2022-03-14,Tangshan
28714080,38.3037,116.8452,2,6,,,2022-03-14,Cangzhou
79949498,-6.8,39.2833,2,6,,,2022-03-14,Dar es Salaam
57300055,31.8639,117.2808,2,6,,,2022-03-14,Hefei
89707205,22.3069,114.1831,2,6,,,2022-03-14,Hong Kong
86777050,27.2418,111.4725,2,6,,,2022-03-14,Shaoyang
84745562,21.1967,110.4031,2,6,,,2022-03-14,Zhanjiang
99136428,34.4259,115.6467,2,6,,,2022-03-14,Shangqiu
97917132,31.9829,120.8873,2,6,,,2022-03-14,Nantong
17882906,33.3936,120.1339,2,6,,,2022-03-14,Yancheng
8682094,22.8192,108.315,2,6,,,2022-03-14,Nanning
9326960,26.8968,112.5857,2,6,,,2022-03-14,Hengyang
10560628,32.9773,114.0253,2,6,,,2022-03-14,Zhumadian
38930718,41.8039,123.4258,2,6,,,2022-03-14,Shenyang
3887364,37.0659,114.4753,2,6,,,2022-03-14,Xingtai
50113076,34.2667,108.9,2,6,,,2022-03-14,Xi'an
4966427,-33.45,-70.6667,2,6,,,2022-03-14,Santiago
53510838,37.3997,121.2664,2,6,,,2022-03-14,Yantai
62293729,24.65,46.71,2,6,,,2022-03-14,Riyadh
26271561,34.6587,112.4245,2,6,,,2022-03-14,Luoyang
21828999,25.0433,102.7061,2,6,,,2022-03-14,Kunming
11628647,28.4419,117.9633,2,6,,,2022-03-14,Shangrao
72103597,30.25,120.1675,2,6,,,2022-03-14,Hangzhou
13136954,27.3019,105.2863,2,6,,,2022-03-14,Bijie
44089657,24.9139,118.5858,2,6,,,2022-03-14,Quanzhou
47194073,25.7839,-80.2102,2,6,,,2022-03-14,Miami
25567865,31.5667,120.2833,2,6,,,2022-03-14,Wuxi
28149902,30.45,114.875,2,6,,,2022-03-14,Huanggang
75475050,21.6618,110.9178,2,6,,,2022-03-14,Maoming
65147187,30.7991,106.0784,2,6,,,2022-03-14,Nanchong
5864474,27.705,106.9336,2,6,,,2022-03-14,Zunyi
95351445,25.5102,103.8029,2,6,,,2022-03-14,Qujing
98976419,33.35,44.4167,2,6,,,2022-03-14,Baghdad
82048937,32.1264,114.0672,2,6,,,2022-03-14,Xinyang
38404609,23.5533,116.3649,2,6,,,2022-03-14,Jieyang
64303824,15.6031,32.5265,2,6,,,2022-03-14,Khartoum
33131613,40.4167,-3.7167,2,6,,,2022-03-14,Madrid
8158440,25.45,81.85,2,6,,,2022-03-14,Allahabad
89227715,22.6293,110.1507,2,6,,,2022-03-14,Yulin
54503547,29.0397,111.6839,2,6,,,2022-03-14,Changde
67908350,36.45,115.9833,2,6,,,2022-03-14,Liaocheng
2853455,36.1167,120.4,2,6,,,2022-03-14,Qingdao
16468614,32.7936,-96.7662,2,6,,,2022-03-14,Dallas
82553486,35.2992,113.8851,2,6,,,2022-03-14,Nangandao
25754733,32.0654,112.1531,2,6,,,2022-03-14,Xiangyang
66803359,40.0077,-75.1339,2,6,,,2022-03-14,Philadelphia
48946287,29.987,31.2118,2,6,,,2022-03-14,Giza
74247348,31.7542,116.5078,2,6,,,2022-03-14,Lu'an
2849112,27.3328,103.7144,2,6,,,2022-03-14,Zhaotong
15377156,27.8041,114.383,2,6,,,2022-03-14,Yichun
82103278,37.4513,116.3105,2,6,,,2022-03-14,Dezhou
77176013,-1.2864,36.8172,2,6,,,2022-03-14,Nairobi
2043381,28.6842,115.8872,2,6,,,2022-03-14,Nanchang
38166958,36.2001,117.0809,2,6,,,2022-03-14,Tai'an
46614904,31.2152,107.4947,2,6,,,2022-03-14,Dazhou
41894160,29.7863,-95.3889,2,6,,,2022-03-14,Houston
31869924,20.6767,-103.3475,2,6,,,2022-03-14,Guadalajara
77137061,26.4515,111.5953,2,6,,,2022-03-14,Yongzhou
86017617,33.7627,-84.4224,2,6,,,2022-03-14,Atlanta
19073477,16.795,96.16,2,6,,,2022-03-14,Rangoon
27545207,43.7417,-79.3733,2,6,,,2022-03-14,Toronto
3925396,46.6384,126.9808,2,6,,,2022-03-14,Suihua
23323034,59.95,30.3167,2,6,,,2022-03-14,Saint Petersburg
62449011,38.9047,-77.0163,2,6,,,2022-03-14,Washington
75740279,47.3398,123.9512,2,6,,,2022-03-14,Qiqihar
53680631,33.6333,116.9683,2,6,,,2022-03-14,Suzhou
5928257,23.3735,116.6941,2,6,,,2022-03-14,Shantou
25203552,34.4996,109.4684,2,6,,,2022-03-14,Weinan
95925520,31.8122,119.9692,2,6,,,2022-03-14,Changzhou
83238462,1.3,103.8,2,6,,,2022-03-14,Singapore
72697926,26.0769,119.2917,2,6,,,2022-03-14,Fuzhou
67376976,31.2231,121.5397,2,6,,,2022-03-14,Pudong
64254344,-19.9281,-43.9419,2,6,,,2022-03-14,Belo Horizonte
29391897,24.5093,117.6612,2,6,,,2022-03-14,Zhangzhou
27815791,35.0304,110.998,2,6,,,2022-03-14,Yuncheng
53680631,31.304,120.6164,2,6,,,2022-03-14,Suzhou
79264650,34.35,108.7167,2,6,,,2022-03-14,Xianyang
67827153,25.2667,110.2833,2,6,,,2022-03-14,Guilin
84026711,32.4831,119.9,2,6,,,2022-03-14,Taizhou
31873789,5.3364,-4.0267,2,6,,,2022-03-14,Abidjan
44675915,27.5494,109.9592,2,6,,,2022-03-14,Huaihua
28983453,27.1172,114.9793,2,6,,,2022-03-14,Ji'an
85856477,30.9273,113.911,2,6,,,2022-03-14,Xiaoganzhan
41066288,33.735,113.2999,2,6,,,2022-03-14,Pingdingshan
47250858,29.7048,116.0021,2,6,,,2022-03-14,Jiujiang
511831,21.17,72.83,2,6,,,2022-03-14,Surat
37856115,26.5794,106.7078,2,6,,,2022-03-14,Guiyang
551530,31.2,29.9167,2,6,,,2022-03-14,Alexandria
90529970,33.8626,115.7742,2,6,,,2022-03-14,Bozhou
61182412,-33.865,151.2094,2,6,,,2022-03-14,Sydney
55080986,23.1115,114.4152,2,6,,,2022-03-14,Huizhou
57035461,33.5,119.1331,2,6,,,2022-03-14,Huai'an
21032500,25.7989,113.0267,2,6,,,2022-03-14,Chenzhou
3791153,41.3825,2.1769,2,6,,,2022-03-14,Barcelona
62777066,30.5,117.0333,2,6,,,2022-03-14,Anqing
32367239,33.9331,118.2831,2,6,,,2022-03-14,Suqian
87719514,42.3188,-71.0846,2,6,,,2022-03-14,Boston
54883758,22.5833,113.0833,2,6,,,2022-03-14,Jiangmen
59649171,31.4669,104.7385,2,6,,,2022-03-14,Mianyang
77053001,45.75,126.6333,2,6,,,2022-03-14,Harbin
79149784,34.7936,114.3403,2,6,,,2022-03-14,Huanglongsi
61043831,-37.8136,144.9631,2,6,,,2022-03-14,Melbourne
62046037,36.7831,118.0497,2,6,,,2022-03-14,Zibo
78783117,38.9,121.6,2,6,,,2022-03-14,Dalian
49323552,37.7348,115.686,2,6,,,2022-03-14,Hengshui
88604640,28.7596,104.64,2,6,,,2022-03-14,Yibin
74458482,32.3912,119.4363,2,6,,,2022-03-14,Yangzhou
77336079,2.3528,-76.6819,2,6,,,2022-03-14,Timbio
12197816,-26.2044,28.0416,2,6,,,2022-03-14,Johannesburg
20488879,28.5833,112.3333,2,6,,,2022-03-14,Yiyang
35413598,23.0961,109.6092,2,6,,,2022-03-14,Guigang
94865282,34.5906,119.1801,2,6,,,2022-03-14,Xinpu
63287153,24.2998,116.1191,2,6,,,2022-03-14,Meizhou
50612804,33.5992,-7.62,2,6,,,2022-03-14,Casablanca
69664903,39.5196,116.7006,2,6,,,2022-03-14,Langfang
17979140,40.8108,114.8811,2,6,,,2022-03-14,Zhangjiakou
12678460,42.2663,118.9223,2,6,,,2022-03-14,Chifeng
80223997,36.0812,111.5087,2,6,,,2022-03-14,Linfen
36948880,34.0244,113.8201,2,6,,,2022-03-14,Jiangguanchi
50667887,34.5328,69.1658,2,6,,,2022-03-14,Kabul
