name,epoch,train_acc,train_loss,val_acc,val_loss
Model-Depth-0,2,59.4921875,67.52493061125278,63.75,67.02873170375824
Model-Depth-0,4,64.53125,64.28392075002193,65.3125,64.10988748073578
Model-Depth-0,6,66.328125,61.357408203184605,63.59375,64.17901158332825
Model-Depth-0,8,67.34375,59.33188263326883,67.03125,60.96559286117554
Model-Depth-0,10,68.0859375,58.53862278163433,67.65625,61.06268152594566
Model-Depth-0,12,68.3984375,57.69467204809189,65.9375,59.907822757959366
Model-Depth-0,14,70.703125,55.61942368745804,67.34375,59.216052293777466
Model-Depth-0,16,70.3515625,56.05745818465948,66.09375,59.38857942819595
Model-Depth-0,18,71.8359375,54.27680529654026,67.5,60.651977360248566
Model-Depth-0,20,71.171875,54.880637526512146,65.9375,64.39652919769287
Model-Depth-0,22,72.3046875,54.808751717209816,68.59375,59.64687690138817
Model-Depth-0,24,72.9296875,54.610608480870724,68.125,59.33772951364517
Model-Depth-0,26,73.2421875,52.775218300521374,68.125,58.05413618683815
Model-Depth-0,28,73.5546875,53.93700569868088,69.21875,58.17561849951744
Model-Depth-0,30,73.1640625,52.83223006874323,70.15625,58.13560217618942
Model-Depth-0,32,75.4296875,50.74479453265667,68.4375,59.54392999410629
Model-Depth-0,34,74.2578125,51.60508591681719,67.96875,62.180528342723846
Model-Depth-0,36,75.2734375,51.19428912177682,69.53125,60.281785279512405
Model-Depth-0,38,74.8828125,51.11040219664574,69.375,58.32734301686287
Model-Depth-0,40,74.84375,51.063067615032196,67.1875,65.22241368889809
Model-Depth-0,42,75.1953125,51.790190525352955,69.375,58.60700145363808
Model-Depth-0,44,75.625,50.23099411278963,69.21875,59.268324971199036
Model-Depth-0,46,74.8828125,51.03996284306049,68.59375,58.684009313583374
Model-Depth-0,48,76.2109375,49.3524981662631,70.46875,57.58442372083664
Model-Depth-0,50,77.109375,48.378821574151516,69.6875,58.45083072781563
Model-Depth-5,2,71.8359375,53.36425416171551,73.75,52.46615022420883
Model-Depth-5,4,78.515625,44.690068047493696,75.15625,50.55554687976837
Model-Depth-5,6,81.6796875,40.826708506792784,75.46875,47.13810637593269
Model-Depth-5,8,84.140625,36.56678404659033,79.84375,46.611312329769135
Model-Depth-5,10,85.546875,33.55162367224693,80.9375,47.160350531339645
